response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7
Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.,You don't think he'll ask us how they died? Get back on your horse.,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,Do the dead frighten you?,We should head back to the wall.,Close as any man would.,How close did you get?,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
Where will they go? Their mother's dead.,You want to hold it?,Now there are five.,There are no direwolves south of the Wall.,Tough old beast.,It's a direwolf.,It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?
Ned. Ten is too young to see such things.,"Tell Bran he's coming, too.","The law is law, my lady.","He swore an oath, Cat.",Do you have to?,Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"Quick, Bran, faster!",Relax your bow arm.,"Don't think too much, Bran."
They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.,You don't think he'll ask us how they died? Get back on your horse.,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,Do the dead frighten you?,We should head back to the wall.,Close as any man would.,How close did you get?
"Lad, go run back and get the rest.",He won't be a boy forever. And winter is coming.,Ned. Ten is too young to see such things.,"Tell Bran he's coming, too.","The law is law, my lady.","He swore an oath, Cat.",Do you have to?,Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"Quick, Bran, faster!"
We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned.","He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Tell me.,"I am so sorry, my love.",It's your gods with all the rules.,I wonder if the old gods agree.
"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned.","He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
You should be the Hand of the king.,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",My husband.,But who would he tell?,What if Jon Arryn told someone?,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.","And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","As your brother, I feel it's my duty to warn you","The runt of the litter. That one's yours, Snow.",What is it?
"You can always say no, Ned.","He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Tell me.,"I am so sorry, my love.",It's your gods with all the rules.,I wonder if the old gods agree.,You have five northern children. You're not an outsider.
There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Tell me.,"I am so sorry, my love.",It's your gods with all the rules.,I wonder if the old gods agree.,You have five northern children. You're not an outsider.,All these years and I still feel like an outsider when I come here.,"That's an honor I can do without. Their days are too long, their lives are too short.",You should be the Hand of the king.,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
"Tell Bran he's coming, too.","The law is law, my lady.","He swore an oath, Cat.",Do you have to?,Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"Quick, Bran, faster!",Relax your bow arm.,"Don't think too much, Bran.","And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.,You want to hold it?
But who would he tell?,What if Jon Arryn told someone?,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.","And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","As your brother, I feel it's my duty to warn you","The runt of the litter. That one's yours, Snow.",What is it?,I'm not a Stark. Get on.,What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
"Quick, Bran, faster!",Relax your bow arm.,"Don't think too much, Bran.","And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,Thank you.,"Fine work, as always. Well done.",And your mother.,Go on. Father's watching.,It's …
Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned.","He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …
You want to hold it?,Now there are five.,There are no direwolves south of the Wall.,Tough old beast.,It's a direwolf.,It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?,A madman sees what he sees.
